Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
283.0000000000,-0.0009801489,0.0000000000,0.0500000007,0.8398808837
284.0000000000,-0.0009756216,0.0000000000,0.0500000007,0.8414158821
285.0000000000,-0.0009710944,0.0000000000,0.0500000007,0.8429508805
286.0000000000,-0.0009665671,0.0000000000,0.0500000007,0.8444859386
287.0000000000,-0.0009620398,0.0000000000,0.0500000007,0.8460209370
288.0000000000,-0.0009575125,0.0000000000,0.0500000007,0.8475559950
289.0000000000,-0.0009529853,0.0000000000,0.0500000007,0.8490909934
290.0000000000,-0.0009484580,0.0000000000,0.0500000007,0.8506259918
291.0000000000,-0.0009439307,0.0000000000,0.0500000007,0.8521609902
292.0000000000,-0.0009394034,0.0000000000,0.0500000007,0.8536960483
293.0000000000,-0.0009348762,0.0000000000,0.0500000007,0.8552311063
294.0000000000,-0.0009303489,0.0000000000,0.0500000007,0.8567661047
295.0000000000,-0.0009258216,0.0000000000,0.0500000007,0.8583011031
296.0000000000,-0.0009212943,0.0000000000,0.0500000007,0.8598361015
297.0000000000,-0.0009167671,0.0000000000,0.0500000007,0.8613711000
298.0000000000,-0.0009122398,0.0000000000,0.0500000007,0.8629061580
299.0000000000,-0.0009077125,0.0000000000,0.0500000007,0.8644412160
300.0000000000,-0.0009031852,0.0000000000,0.0500000007,0.8659763336
301.0000000000,-0.0008986579,0.0000000000,0.0500000007,0.8675112724
302.0000000000,-0.0008941307,0.0000000000,0.0500000007,0.8690462709
303.0000000000,-0.0008896034,0.0000000000,0.0500000007,0.8705812693
304.0000000000,-0.0008850761,0.0000000000,0.0500000007,0.8721163273
305.0000000000,-0.0008805488,0.0000000000,0.0500000007,0.8736513853
306.0000000000,-0.0008760216,0.0000000000,0.0500000007,0.8751863241
307.0000000000,-0.0008714943,0.0000000000,0.0500000007,0.8767213821
308.0000000000,-0.0008669670,0.0000000000,0.0500000007,0.8782564402
309.0000000000,-0.0008624397,0.0000000000,0.0500000007,0.8797913790
310.0000000000,-0.0008579125,0.0000000000,0.0500000007,0.8813264370
311.0000000000,-0.0008533852,0.0000000000,0.0500000007,0.8828614950
312.0000000000,-0.0008488579,0.0000000000,0.0500000007,0.8843964934
313.0000000000,-0.0008443306,0.0000000000,0.0500000007,0.8859315515
314.0000000000,-0.0008398034,0.0000000000,0.0500000007,0.8874665499
315.0000000000,-0.0008352761,0.0000000000,0.0500000007,0.8890015483
316.0000000000,-0.0008307488,0.0000000000,0.0500000007,0.8905366659
317.0000000000,-0.0008262215,0.0000000000,0.0500000007,0.8920716047
318.0000000000,-0.0008216943,0.0000000000,0.0500000007,0.8936066628
319.0000000000,-0.0008171670,0.0000000000,0.0500000007,0.8951416612
320.0000000000,-0.0008126397,0.0000000000,0.0500000007,0.8966766596
321.0000000000,-0.0008081124,0.0000000000,0.0500000007,0.8982117176
322.0000000000,-0.0008035852,0.0000000000,0.0500000007,0.8997467756
323.0000000000,-0.0007990579,0.0000000000,0.0500000007,0.9012817144
324.0000000000,-0.0007945306,0.0000000000,0.0500000007,0.9028167725
325.0000000000,-0.0007900033,0.0000000000,0.0500000007,0.9043518305
326.0000000000,-0.0007854761,0.0000000000,0.0500000007,0.9058867693
327.0000000000,-0.0007809488,0.0000000000,0.0500000007,0.9074218273
328.0000000000,-0.0007764215,0.0000000000,0.0500000007,0.9089568853
329.0000000000,-0.0007718942,0.0000000000,0.0500000007,0.9104918838
330.0000000000,-0.0007673670,0.0000000000,0.0500000007,0.9120269418
331.0000000000,-0.0007628397,0.0000000000,0.0500000007,0.9135619402
332.0000000000,-0.0007583124,0.0000000000,0.0500000007,0.9150969386
333.0000000000,-0.0007537851,0.0000000000,0.0500000007,0.9166319966
334.0000000000,-0.0007492579,0.0000000000,0.0500000007,0.9181669951
335.0000000000,-0.0007447306,0.0000000000,0.0500000007,0.9197020531
336.0000000000,-0.0007402033,0.0000000000,0.0500000007,0.9209680557
337.0000000000,-0.0007356760,0.0000000000,0.0500000007,0.9220017791
338.0000000000,-0.0007311488,0.0000000000,0.0500000007,0.9230353832
339.0000000000,-0.0007266215,0.0000000000,0.0500000007,0.9240691066
340.0000000000,-0.0007220942,0.0000000000,0.0500000007,0.9251027107
